"Source","Target","Weight"
"frases","sucesso",1
"frases","viral",1
"funk","happynation",1
"funk","meme",1
"golpe","sucesso",1
"happynation","mulherdepreso",1
"humor","mulherdepreso",1
"humor","tiktok",1
"humor","trending",1
"laranja","tropado7",1
"luxo","musica",1
"luxo","trending",1
"luxo","tropado7",1
"mckelvinho","meme",1
"mckelvinho","status",1
"mckelvinho","tiktok",1
"mckelvinho","tropado7",1
"meme","ninoabravanel",1
"meme","policia",1
"meme","tiktok",1
"meme","trending",1
"milionario","raul",1
"milionario","ruyter",1
"milionario","sucesso",1
"motivational","raul",1
"musica","policia",1
"musica","rico",1
"ninoabravanel","status",1
"ninoabravanel","trending",1
"policia","raul",1
"policia","rico",1
"policia","tropado7",1
"raul","status",1
"rico","tiktok",1
"rico","trending",1
"status","tropado7",1
